from_frame,to_frame,fen
14124,14124,8/5k1p/3p2p1/1BpPbp2/P7/4P1P1/2R2PK1/r7
14148,14148,8/4k2p/3p2p1/1BpPbp2/P7/4P1P1/2R2PK1/r7
14872,14872,8/4k2p/3p2p1/1BpPbp2/P7/4P1P1/3R1PK1/r7
14972,14972,3k4/7p/3p2p1/1BpPbp2/P7/4P1P1/3R1PK1/r7
15364,15364,3k4/7p/3p2p1/1BpPbp2/P7/4P1P1/4RPK1/r7
17528,17528,8/2k4p/3p2p1/1BpPbp2/P7/4P1P1/4RPK1/r7
18124,18124,8/2k4p/3p2p1/1BpPbp2/P4P2/4P1P1/4R1K1/r7
18568,18568,8/2k4p/3p2p1/1BpP1p2/P4P2/2b1P1P1/4R1K1/r7
18764,18764,8/2k4p/3p2p1/1BpP1p2/P3PP2/2b3P1/4R1K1/r7
18928,18928,8/2k4p/3p2p1/1BpP1p2/P3PP2/2b3P1/4R1K1/3r4
20172,20172,8/2k4p/3p2p1/1BpPPp2/P4P2/2b3P1/4R1K1/3r4
24528,24528,8/2k4p/6p1/1BpPpp2/P4P2/2b3P1/4R1K1/3r4
24560,24560,8/2k4p/6p1/1BpPPp2/P7/2b3P1/4R1K1/3r4
24600,24600,8/2k4p/6p1/1BprPp2/P7/2b3P1/4R1K1/8
24684,24684,8/2k4p/4P1p1/1Bpr1p2/P7/2b3P1/4R1K1/8
27424,27424,8/2k4p/4Pbp1/1Bpr1p2/P7/6P1/4R1K1/8
24756,24756,8/2k1P2p/5bp1/1Bpr1p2/P7/6P1/4R1K1/8
24772,24772,8/2k1b2p/6p1/1Bpr1p2/P7/6P1/4R1K1/8
24796,24796,8/2k1R2p/6p1/1Bpr1p2/P7/6P1/6K1/8
24812,24812,8/4R2p/1k4p1/1Bpr1p2/P7/6P1/6K1/8
25004,25004,8/7R/1k4p1/1Bpr1p2/P7/6P1/6K1/8
25024,25024,8/7R/6p1/kBpr1p2/P7/6P1/6K1/8
25284,25284,8/6R1/6p1/kBpr1p2/P7/6P1/6K1/8
25744,25744,8/6R1/3r2p1/kBp2p2/P7/6P1/6K1/8
27140,27140,4B3/6R1/3r2p1/k1p2p2/P7/6P1/6K1/8
28056,28056,4B3/6R1/3r2p1/k4p2/P1p5/6P1/6K1/8
28228,28228,8/6R1/3r2B1/k4p2/P1p5/6P1/6K1/8
28852,28852,8/6R1/5rB1/k4p2/P1p5/6P1/6K1/8
29860,29860,4B3/6R1/5r2/k4p2/P1p5/6P1/6K1/8
29960,29960,4B3/6R1/5r2/k4p2/P7/2p3P1/6K1/8
30000,30000,4B3/2R5/5r2/k4p2/P7/2p3P1/6K1/8
30036,30036,4B3/2R5/5r2/5p2/Pk6/2p3P1/6K1/8
31272,31272,4B3/2R5/5r2/5p2/Pk6/2p3P1/5K2/8
31428,31428,4B3/2R5/5r2/5p2/P7/1kp3P1/5K2/8
31960,31960,8/2R5/5r2/1B3p2/P7/1kp3P1/5K2/8
32060,32060,8/2R5/3r4/1B3p2/P7/1kp3P1/5K2/8
32120,32120,8/2R5/3r4/1B3p2/P7/1kp1K1P1/8/8
32488,32488,8/2R5/4r3/1B3p2/P7/1kp1K1P1/8/8
32852,32852,8/2R5/4r3/1B3p2/P2K4/1kp3P1/8/8
32988,32988,8/2R5/3r4/1B3p2/P2K4/1kp3P1/8/8
33260,33260,8/2R5/3r4/1B3p2/P7/1kp1K1P1/8/8
33416,33416,8/2R5/4r3/1B3p2/P7/1kp1K1P1/8/8
33636,33636,8/2R5/4r3/1B3p2/P7/1kp2KP1/8/8
34084,34084,8/2R5/3r4/1B3p2/P7/1kp2KP1/8/8
34412,34412,8/2R5/3r4/PB3p2/8/1kp2KP1/8/8
34352,34352,8/2R5/3r4/PB3p2/8/1k3KP1/2p5/8
34436,34436,8/2R5/P2r4/1B3p2/8/1k3KP1/2p5/8
34536,34536,8/2R5/P2r4/1B3p2/8/5KP1/1kp5/8
34576,34576,8/P1R5/3r4/1B3p2/8/5KP1/1kp5/8
34592,34592,3r4/P1R5/8/1B3p2/8/5KP1/1kp5/8
34668,34668,3r4/P7/8/1B3p2/8/5KP1/1kR5/8
34668,34668,3r4/P7/8/1B3p2/8/5KP1/2k5/8
34708,34708,3r4/P7/2B5/5p2/8/5KP1/2k5/8
