from_frame,to_frame,fen
4284,4284,r2q1rk1/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP1B1PPP/RN2R1K1
4660,4660,r2q1rk1/ppn1ppbp/2n1b1p1/4P3/2B5/1Q3N2/PP1B1PPP/RN2R1K1
4848,4848,r2q1rk1/ppn1ppbp/2n1B1p1/4P3/8/1Q3N2/PP1B1PPP/RN2R1K1
4880,4880,r2q1rk1/pp2ppbp/2n1n1p1/4P3/8/1Q3N2/PP1B1PPP/RN2R1K1
5968,5968,r2q1rk1/pQ2ppbp/2n1n1p1/4P3/8/5N2/PP1B1PPP/RN2R1K1
6504,6504,r2q1rk1/pQ2ppbp/4n1p1/4P3/3n4/5N2/PP1B1PPP/RN2R1K1
6656,6656,r2q1rk1/pQ2ppbp/4n1p1/4P3/3N4/8/PP1B1PPP/RN2R1K1
6808,6808,r2q1rk1/pQ2ppbp/6p1/4P3/3n4/8/PP1B1PPP/RN2R1K1
6856,6856,r2q1rk1/p3ppbp/6p1/4P3/3nQ3/8/PP1B1PPP/RN2R1K1
7992,7992,1r1q1rk1/p3ppbp/6p1/4P3/3nQ3/8/PP1B1PPP/RN2R1K1
8820,8820,1r1q1rk1/p3ppbp/6p1/4P3/3nQ3/2B5/PP3PPP/RN2R1K1
8896,8896,1r1q1rk1/p3ppbp/4n1p1/4P3/4Q3/2B5/PP3PPP/RN2R1K1
9148,9148,1r1q1rk1/p3ppbp/4n1p1/4P3/4Q3/2B5/PP1N1PPP/R3R1K1
9404,9404,1r1q1rk1/p3ppbp/6p1/2n1P3/4Q3/2B5/PP1N1PPP/R3R1K1
10588,10588,1r1q1rk1/p3ppbp/6p1/2n1P3/3Q4/2B5/PP1N1PPP/R3R1K1
11104,11104,1r1q1rk1/p3ppbp/6p1/4P3/3Q4/2Bn4/PP1N1PPP/R3R1K1
11668,11668,1r1q1rk1/p3ppbp/6p1/4P3/3Q4/2BnR3/PP1N1PPP/R5K1
12284,12284,1r3rk1/p3ppbp/6p1/4P3/3q4/2BnR3/PP1N1PPP/R5K1
12316,12316,1r3rk1/p3ppbp/6p1/4P3/3B4/3nR3/PP1N1PPP/R5K1
12444,12444,1r3rk1/p3ppbp/6p1/4P3/3B4/4R3/Pn1N1PPP/R5K1
12844,12844,1r3rk1/p3ppbp/6p1/4P3/3B4/4R3/Pn1N1PPP/1R4K1
12880,12880,1r3rk1/p3ppbp/6p1/4P3/2nB4/4R3/P2N1PPP/1R4K1
13192,13192,1R3rk1/p3ppbp/6p1/4P3/2nB4/4R3/P2N1PPP/6K1
13316,13316,1r4k1/p3ppbp/6p1/4P3/2nB4/4R3/P2N1PPP/6K1
13352,13352,1r4k1/p3ppbp/6p1/4P3/2nB4/1R6/P2N1PPP/6K1
14060,14060,3r2k1/p3ppbp/6p1/4P3/2nB4/1R6/P2N1PPP/6K1
14392,14392,3r2k1/p3ppbp/6p1/4P3/2NB4/1R6/P4PPP/6K1
14428,14428,6k1/p3ppbp/6p1/4P3/2Nr4/1R6/P4PPP/6K1
14464,14464,1R4k1/p3ppbp/6p1/4P3/2Nr4/8/P4PPP/6K1
14484,14484,1R3bk1/p3pp1p/6p1/4P3/2Nr4/8/P4PPP/6K1
14504,14504,1R3bk1/p3pp1p/6p1/4P3/3r4/4N3/P4PPP/6K1
15216,15216,1R3bk1/p3pp1p/6p1/4P3/r7/4N3/P4PPP/6K1
15864,15864,1R3bk1/p3pp1p/6p1/4P3/r7/4N1P1/P4P1P/6K1
15944,15944,1R3bk1/p3pp1p/6p1/4P3/8/4N1P1/r4P1P/6K1
15972,15972,1R3bk1/p3pp1p/6p1/3NP3/8/6P1/r4P1P/6K1
16136,16136,1R3b2/p3ppkp/6p1/3NP3/8/6P1/r4P1P/6K1
16232,16232,5b2/pR2ppkp/6p1/3NP3/8/6P1/r4P1P/6K1
18052,18052,5b2/pR2ppkp/6p1/r2NP3/8/6P1/5P1P/6K1
18384,18384,5b2/pR2Npkp/6p1/r3P3/8/6P1/5P1P/6K1
18432,18432,5b2/pR2Npkp/6p1/4r3/8/6P1/5P1P/6K1
18844,18844,5b2/pR3pkp/2N3p1/4r3/8/6P1/5P1P/6K1
19128,19128,5b2/pR3pkp/2N3p1/8/8/6P1/4rP1P/6K1
19488,19488,5b2/pR3pkp/2N3p1/8/8/6P1/4rP1P/5K2
19684,19684,5b2/pR3pkp/2N3p1/8/8/6P1/2r2P1P/5K2
20140,20140,3N1b2/pR3pkp/6p1/8/8/6P1/2r2P1P/5K2
22252,22252,3N1b2/1R3pkp/6p1/p7/8/6P1/2r2P1P/5K2
23452,23452,3N1b2/5Rkp/6p1/p7/8/6P1/2r2P1P/5K2
23508,23508,3N1bk1/5R1p/6p1/p7/8/6P1/2r2P1P/5K2
23540,23540,3N1bk1/7p/6p1/p7/5R2/6P1/2r2P1P/5K2
24180,24180,3N2k1/7p/3b2p1/p7/5R2/6P1/2r2P1P/5K2
24552,24552,3N2k1/7p/3b2p1/p7/4R3/6P1/2r2P1P/5K2
24584,24584,3N2k1/7p/6p1/p1b5/4R3/6P1/2r2P1P/5K2
25436,25436,3N2k1/7p/6p1/p1b5/5R2/6P1/2r2P1P/5K2
26828,26828,3N2k1/8/6p1/p1b4p/5R2/6P1/2r2P1P/5K2
27056,27056,6k1/8/4N1p1/p1b4p/5R2/6P1/2r2P1P/5K2
27112,27112,6k1/8/3bN1p1/p6p/5R2/6P1/2r2P1P/5K2
27627,27627,6k1/8/3bN1p1/p6p/3R4/6P1/2r2P1P/5K2
27984,27984,6k1/8/4N1p1/p3b2p/3R4/6P1/2r2P1P/5K2
28124,28124,6k1/8/4N1p1/p2Rb2p/8/6P1/2r2P1P/5K2
28412,28412,6k1/8/4N1p1/p2R3p/8/2b3P1/2r2P1P/5K2
29056,29056,6k1/8/6p1/p2R3p/5N2/2b3P1/2r2P1P/5K2
29184,29184,6k1/8/6p1/3R3p/p4N2/2b3P1/2r2P1P/5K2
29464,29464,3R2k1/8/6p1/7p/p4N2/2b3P1/2r2P1P/5K2
29500,29500,3R4/5k2/6p1/7p/p4N2/2b3P1/2r2P1P/5K2
29564,29564,R7/5k2/6p1/7p/p4N2/2b3P1/2r2P1P/5K2
30000,30000,R7/5k2/6p1/7p/p4N2/2b3P1/r4P1P/5K2
30060,30060,8/R4k2/6p1/7p/p4N2/2b3P1/r4P1P/5K2
30232,30232,6k1/R7/6p1/7p/p4N2/2b3P1/r4P1P/5K2
30952,30952,R5k1/8/6p1/7p/p4N2/2b3P1/r4P1P/5K2
31008,31008,R7/7k/6p1/7p/p4N2/2b3P1/r4P1P/5K2
31332,31332,8/R6k/6p1/7p/p4N2/2b3P1/r4P1P/5K2
31432,31432,8/R7/6pk/7p/p4N2/2b3P1/r4P1P/5K2
31880,31880,8/8/R5pk/7p/p4N2/2b3P1/r4P1P/5K2
31912,31912,8/8/R5pk/7p/5N2/p1b3P1/r4P1P/5K2
31944,31944,8/8/6Rk/7p/5N2/p1b3P1/r4P1P/5K2
31960,31960,8/7k/6R1/7p/5N2/p1b3P1/r4P1P/5K2
32288,32288,8/7k/R7/7p/5N2/p1b3P1/r4P1P/5K2
32320,32320,8/7k/R7/7p/5N2/p1b3P1/5P1P/r4K2
32400,32400,8/7k/R7/7p/5N2/p1b3P1/5PKP/r7
32808,32808,8/7k/R7/7p/3b1N2/p5P1/5PKP/r7
33452,33452,8/7k/8/7p/R2b1N2/p5P1/5PKP/r7
34136,34136,8/7k/8/7p/R4N2/p5P1/1b3PKP/r7
34236,34236,8/7k/8/7N/R7/p5P1/1b3PKP/r7
34268,34268,8/7k/8/7N/R7/p5P1/1b3PKP/3r4
34392,34392,8/7k/8/8/R4N2/p5P1/1b3PKP/3r4
34532,34532,8/7k/8/8/R4N2/p5P1/1b1r1PKP/8
35020,35020,8/7k/8/8/R4N1P/p5P1/1b1r1PK1/8
35056,35056,8/7k/8/8/R4N1P/p5P1/3r1PK1/2b5
35212,35212,8/7k/8/8/R4N1P/p4KP1/3r1P2/2b5
35238,35238,8/7k/8/8/R4N1P/p4KP1/2r2P2/2b5
35492,35492,8/7k/8/8/R6P/p2N1KP1/2r2P2/2b5
35704,35704,8/7k/8/8/R6P/p1rN1KP1/5P2/2b5
35720,35720,8/7k/8/8/R3K2P/p1rN2P1/5P2/2b5
35848,35848,8/7k/7b/8/R3K2P/p1rN2P1/5P2/8
35924,35924,8/7k/7b/8/R3KP1P/p1rN2P1/8/8
35972,35972,5b2/7k/8/8/R3KP1P/p1rN2P1/8/8
36224,36224,5b2/7k/8/8/R3KPPP/p1rN4/8/8
36244,36244,5b2/7k/8/8/R3KPPP/p2N4/2r5/8
36400,36400,5b2/R6k/8/8/4KPPP/p2N4/2r5/8
36424,36424,5bk1/R7/8/8/4KPPP/p2N4/2r5/8
36484,36484,R4bk1/8/8/8/4KPPP/p2N4/2r5/8
36520,36520,R4bk1/8/8/8/2r1KPPP/p2N4/8/8
36556,36556,R4bk1/8/8/3K4/2r2PPP/p2N4/8/8
36580,36580,R4bk1/8/8/3K4/5PPP/p1rN4/8/8
36652,36652,R4bk1/8/8/3KN3/5PPP/p1r5/8/8
36740,36740,R4bk1/8/8/3KN3/5PPP/p6r/8/8
36772,36772,R4bk1/8/6N1/3K4/5PPP/p6r/8/8
36796,36796,R4b2/6k1/6N1/3K4/5PPP/p6r/8/8
36812,36812,R4N2/6k1/8/3K4/5PPP/p6r/8/8
36984,36984,R4N2/6k1/8/3K4/5PPr/p7/8/8
37000,37000,R7/6k1/4N3/3K4/5PPr/p7/8/8
37024,37024,R7/8/4Nk2/3K4/5PPr/p7/8/8
37040,37040,R7/8/4Nk2/3K2P1/5P1r/p7/8/8
37076,37076,R7/4k3/4N3/3K2P1/5P1r/p7/8/8
37108,37108,8/4k3/4N3/3K2P1/5P1r/R7/8/8
37128,37128,8/4k3/4N3/3K2P1/5P2/R7/8/7r
37180,37180,8/4k3/4N3/3K2P1/5P2/4R3/8/7r
37208,37208,8/4k3/4N3/3K2P1/5P2/4R3/8/3r4
37220,37220,8/4k3/4N3/4K1P1/5P2/4R3/8/3r4
37264,37264,8/4k3/4N3/4K1P1/5P2/4R3/8/r7
37340,37340,8/4k3/4N3/5KP1/5P2/4R3/8/r7
37392,37392,8/4k3/4N3/r4KP1/5P2/4R3/8/8
37420,37420,8/4k3/4N3/r3RKP1/5P2/8/8/8
37504,37504,8/4k3/4N3/4RKP1/5P2/8/8/r7
37528,37528,8/4k3/8/4RKP1/3N1P2/8/8/r7
37576,37576,8/5k2/8/4RKP1/3N1P2/8/8/r7
37596,37596,8/5k2/6P1/4RK2/3N1P2/8/8/r7
37636,37636,6k1/8/6P1/4RK2/3N1P2/8/8/r7
37668,37668,6k1/8/5KP1/4R3/3N1P2/8/8/r7
37696,37696,6k1/8/r4KP1/4R3/3N1P2/8/8/8
37716,37716,6k1/8/r3RKP1/8/3N1P2/8/8/8
37740,37740,r5k1/8/4RKP1/8/3N1P2/8/8/8
37772,37772,r5k1/8/4RKP1/5N2/5P2/8/8/8
37820,37820,5rk1/8/4RKP1/5N2/5P2/8/8/8
37840,37840,5rk1/8/4R1P1/5NK1/5P2/8/8/8
37896,37896,r5k1/8/4R1P1/5NK1/5P2/8/8/8
37940,37940,r5k1/4R3/6P1/5NK1/5P2/8/8/8
38044,38044,1r4k1/4R3/6P1/5NK1/5P2/8/8/8
38208,38208,1r4k1/4R3/6PN/6K1/5P2/8/8/8
38236,38236,1r3k2/4R3/6PN/6K1/5P2/8/8/8
38244,38244,1r3k2/5R2/6PN/6K1/5P2/8/8/8
38260,38260,1r2k3/5R2/6PN/6K1/5P2/8/8/8
38276,38276,1r2k3/7R/6PN/6K1/5P2/8/8/8
38308,38308,4k3/7R/6PN/1r4K1/5P2/8/8/8
38316,38316,4k3/7R/6PN/1r3PK1/8/8/8/8
38336,38336,4k3/7R/6PN/5PK1/8/8/8/1r6
38360,38360,4k3/6PR/7N/5PK1/8/8/8/1r6
38424,38424,4k3/6PR/7N/5PK1/8/8/8/6r1
38480,38480,4k3/6PR/5K1N/5P2/8/8/8/6r1
38728,38728,3k4/6PR/5K1N/5P2/8/8/8/6r1
38772,38772,3k2Q1/7R/5K1N/5P2/8/8/8/6r1
38804,38804,3k2r1/7R/5K1N/5P2/8/8/8/8
38816,38816,3k2N1/7R/5K2/5P2/8/8/8/8
38832,38832,4k1N1/7R/5K2/5P2/8/8/8/8
38852,38852,4k1N1/7R/4K3/5P2/8/8/8/8
38872,38872,5kN1/7R/4K3/5P2/8/8/8/8
38924,38924,5kN1/R7/4K3/5P2/8/8/8/8
38976,38976,6k1/R7/4K3/5P2/8/8/8/8
39008,39008,6k1/R7/5K2/5P2/8/8/8/8
39032,39032,7k/R7/5K2/5P2/8/8/8/8
39056,39056,7k/R7/6K1/5P2/8/8/8/8
39060,39060,6k1/R7/6K1/5P2/8/8/8/8
39084,39084,R5k1/8/6K1/5P2/8/8/8/8
