from_frame,to_frame,fen
32060,32060,q7/3b2k1/4pn2/5pN1/ppBP1Pp1/1P2P1P1/1K6/Q7
32080,32080,8/3b2k1/4pn2/5pN1/ppBP1Pp1/1P2P1P1/1K4q1/Q7
32104,32104,8/3b2k1/4pn2/5pN1/ppBP1Pp1/1P2P1P1/6q1/QK6
32136,32136,8/3b2k1/4pn2/5pN1/ppBP1Pp1/1P2P1P1/8/QK4q1
32224,32224,8/3b2k1/4pn2/5pN1/ppBP1Pp1/1P2P1P1/K7/Q5q1
32440,32440,8/3b2k1/4pn2/5pN1/ppBP1Pp1/1P2q1P1/K7/Q7
32832,32832,8/3b2k1/4pn2/5pN1/ppBP1Pp1/1P2q1P1/K7/7Q
32968,32968,8/3b2k1/4pn2/5pN1/ppBP1Pp1/1P4P1/K2q4/7Q
33252,33252,8/3b2k1/4pn2/5pN1/ppBP1Pp1/1P4P1/3q4/1K5Q
33372,33372,8/3b2k1/4pn2/5pN1/1pBP1Pp1/pP4P1/3q4/1K5Q
33612,33612,8/3b2k1/4Nn2/5p2/1pBP1Pp1/pP4P1/3q4/1K5Q
33628,33628,8/6k1/4bn2/5p2/1pBP1Pp1/pP4P1/3q4/1K5Q
33648,33648,8/1Q4k1/4bn2/5p2/1pBP1Pp1/pP4P1/3q4/1K6
33700,33700,8/1Q1b2k1/5n2/5p2/1pBP1Pp1/pP4P1/3q4/1K6
